Name,Name_ch,Name_en,confirmed,deaths,recovered
Papua New Guinea,,Papua New Guinea,517,7,232
Tanzania,,Tanzania,509,21,183
대만,台湾,Taiwan,509,7,479
Burundi,,Burundi,474,1,462
Comoros,,Comoros,470,7,450
Faeroe Islands,,Faeroe Islands,437,0,413
Mauritius,,Mauritius,366,10,338
Eritrea,,Eritrea,364,0,305
지브롤터,直布罗陀,Gibraltar,350,0,323
Isle of Man,,Isle of Man,340,24,312
Saint Martin,,Saint Martin,330,6,206
Mongolia,,Mongolia,313,0,302
Curaçao,,Curaçao,282,1,102
캄보디아,柬埔寨,Cambodia,275,0,274
부탄,不丹,Bhutan,261,0,194
Cayman Islands,,Cayman Islands,209,1,204
모나코,摩纳哥,Monaco,195,1,159
Barbados,,Barbados,189,7,173
Bermuda,,Bermuda,180,9,166
Brunei,,Brunei,145,3,142
Seychelles,,Seychelles,143,0,136
리히텐슈타인,列支敦士登,Liechtenstein,114,1,110
Antigua and Barbuda,,Antigua and Barbuda,96,3,92
British Virgin Islands,,British Virgin Islands,69,1,48
St. Vincent Grenadines,,St. Vincent Grenadines,64,0,64
마카오,澳门,Macao,46,0,46
Caribbean Netherlands,,Caribbean Netherlands,36,1,17
Fiji,,Fiji,32,2,26
Saint Lucia,,Saint Lucia,27,0,26
Timor-Leste,,Timor-Leste,27,0,27
New Caledonia,,New Caledonia,26,0,26
Dominica,,Dominica,24,0,18
Grenada,,Grenada,24,0,24
Laos,,Laos,23,0,22
St. Barth,,St. Barth,23,0,16
Saint Kitts and Nevis,,Saint Kitts and Nevis,19,0,17
Greenland,,Greenland,14,0,14
Montserrat,,Montserrat,13,1,12
Falkland Islands,,Falkland Islands,13,0,13
Vatican City,,Vatican City,12,0,12
Saint Pierre Miquelon,,Saint Pierre Miquelon,11,0,5
Western Sahara,,Western Sahara,10,1,8
MS Zaandam,,MS Zaandam,9,2,0
Anguilla,,Anguilla,3,0,3
중국,中国,China,85297,4634,80497
